Название,Первый год обучения,Второй год обучения и последующие,Второй год обучения,Третий год обучения и последующие
Архитектура,250000₽,,250000₽,312000₽
Управление инновациями в отраслях промышленности,220000₽,268933₽,,
Системная инженерия машиностроительных производств,200000₽,275600₽,,
Нанотехнологии и наноматериалы в приборостроении,250000₽,309933₽,,
"Разработка нефтяных и газовых месторождений, транспортировка, хранение и переработка нефти и газа",260000₽,306600₽,,
"Геологическая съемка, поиски и разведка месторождений твердых полезных ископаемых",200000₽,,200000₽,307000₽
Строительство,240000₽,302533₽,,
Data Engineering and Space Systems Control / Data Engineering и управление космическими системами,200000₽,275600₽,,
Эксплуатация транспортно-технологических машин и комплексов,200000₽,275600₽,,
Энергетическое машиностроение,200000₽,275600₽,,
